	description	link	title	link_class	type
0	This dataset contains NEDA Updates for the year 2012 as of May 9, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A35%3A59.822Z/09-may-2012.csv	09 May 2012 NEDA Updates	<type 'unicode'>	csv
1	This dataset contains NEDA Updates for the year 2012 as of February 8, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A32%3A40.133Z/08-february-2012.csv	February 08 2012 NEDA Updates	<type 'unicode'>	csv
2	This dataset contains NEDA Updates for the year 2012 as of November 7, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A29%3A24.013Z/07-november-2012.csv	November 07 2012 NEDA Updates	<type 'unicode'>	csv
3	This dataset contains NEDA Updates for the year 2012 as of June 6, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A22%3A31.043Z/06-june-2012.csv	June 06 2012 NEDA Updates	<type 'unicode'>	csv
4	This dataset contains NEDA Updates for the year 2012 as of September 5, 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A08%3A19.515Z/05-september-2012.csv	05 September 2012 NEDA Updates	<type 'unicode'>	csv
5	This dataset contains NEDA Updates for the year 2012 as of December 5, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A05%3A15.658Z/05-december-2012.csv	05 December 2012 NEDA Updates	<type 'unicode'>	csv
6	This dataset contains the NEDA Updates for the year 2012 as of July 4, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A02%3A18.756Z/04-july-2012.csv	04 July 2012 NEDA Updates	<type 'unicode'>	csv
7	This dataset contains the NEDA Updates for the year 2012 as of January 4, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A59%3A21.458Z/04-january-2012.csv	04 January 2012 NEDA Updates	<type 'unicode'>	csv
8	This dataset contains the NEDA Updates for the year 2012 as of April 4, 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A55%3A33.085Z/04-april-2012.csv	04 April 2012 NEDA Updates	<type 'unicode'>	csv
9	This dataset contains NEDA Updates as of October 3, 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A51%3A26.019Z/03-october-2012.csv	03 October 2012 NEDA Updates	<type 'unicode'>	csv
10	This dataset contains NEDA Updates for May 2, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A47%3A23.049Z/02-may-2012.csv	02 May 2012 NEDA Updates	<type 'unicode'>	csv
11	This dataset contains NEDA Updates for February 1, 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A43%3A26.470Z/01-february-2012.csv	01 February 2012 NEDA Updates	<type 'unicode'>	csv
12	This dataset contains NEDA Updates for August 1, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T01%3A23%3A19.618Z/01-august-2012.csv	01 August 2012 NEDA Updates	<type 'unicode'>	csv
13	Climate  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the Philippine Atmospheric,...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13574255.747701%2C1534591.1514304%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Climate%20type%22%2C%22geoportal%3Apagasa_climate%22%2C1%2C%22ClimateType%22%2C0%2Cnull%5D%5D%7D	Climate	<type 'unicode'>	1514304%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Climate%20type%22%2C%22geoportal%3Apagasa_climate%22%2C1%2C%22ClimateType%22%2C0%2Cnull%5D%5D%7D
14	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 5% AEP (1/20)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Brgy.%20Building%20Damaged%20Floor%20Area%20Equivalent%205%25%20AEP%20%281/20%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent5AEP120%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 5% AEP (1/20)	<type 'unicode'>	%20Building%20Damaged%20Floor%20Area%20Equivalent%205%25%20AEP%20%281/20%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent5AEP120%22%2C0%2Cnull%5D%5D%7D
15	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 2% AEP (1/50)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Brgy.%20Building%20Damaged%20Floor%20Area%20Equivalent%202%25%20AEP%20%281/50%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent2AEP150%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 2% AEP (1/50)	<type 'unicode'>	%20Building%20Damaged%20Floor%20Area%20Equivalent%202%25%20AEP%20%281/50%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent2AEP150%22%2C0%2Cnull%5D%5D%7D
